Date,AAVE,ADA,ALGO,ATOM,AVAX,BNB,BTC,DOGE,DOT,ETH,FIL,LINK,LTC,MATIC,SOL,TRX,UNI,VET,XLM,XRP,fg_raw
2018-01-01,,0.7286570072174072,,,,8.414609909057617,13657.2001953125,0.0089090000838041,,772.6409912109375,19.480199813842773,0.7335630059242249,229.0330047607422,,,0.0516950003802776,,,0.4800080060958862,2.3910300731658936,
2018-01-02,,0.7825869917869568,,,,8.837770462036133,14982.099609375,0.0091450000181794,,884.4439697265625,20.110599517822266,0.6737120151519775,255.6840057373047,,,0.0786819979548454,,,0.564765989780426,2.4809000492095947,
2018-01-03,,1.0796600580215454,,,,9.535880088806152,15201.0,0.0093200001865625,,962.719970703125,19.82749938964844,0.6811670064926147,245.3679962158203,,,0.0947029963135719,,,0.8962270021438599,3.105370044708252,
2018-01-04,,1.1141200065612793,,,,9.213990211486816,15599.2001953125,0.0096439998596906,,980.9219970703124,20.417800903320312,0.9843680262565612,241.3699951171875,,,0.2079740017652511,,,0.724049985408783,3.1966300010681152,
2018-01-05,,0.9995589852333068,,,,14.917200088500977,17429.5,0.0121670002117753,,997.719970703125,24.118099212646484,0.9074860215187072,249.27099609375,,,0.2205549925565719,,,0.6627119779586792,3.0487101078033447,
2018-01-06,,1.02715003490448,,,,22.75979995727539,17527.0,0.0148630002513527,,1041.6800537109375,24.46969985961914,1.0635700225830078,296.4540100097656,,,0.1747969985008239,,,0.709945023059845,3.0939700603485107,
2018-01-07,,1.008520007133484,,,,18.65679931640625,16477.599609375,0.0170879997313022,,1153.1700439453125,26.018400192260746,1.27046000957489,288.45098876953125,,,0.199654996395111,,,0.6996449828147888,3.377810001373291,
2018-01-08,,0.8990020155906677,,,,18.260900497436523,15170.099609375,0.0150450002402067,,1148.530029296875,26.08209991455078,1.3773000240325928,255.76300048828125,,,0.1519930064678192,,,0.6293230056762695,2.456209897994995,
2018-01-09,,0.8147429823875427,,,,17.411800384521484,14595.400390625,0.0134199997410178,,1299.739990234375,27.32099914550781,1.228279948234558,247.03700256347656,,,0.1247820034623146,,,0.5856530070304871,2.1017799377441406,
2018-01-10,,0.7931209802627563,,,,17.39080047607422,14973.2998046875,0.0131019996479153,,1255.8199462890625,24.943199157714844,1.1887099742889404,250.51800537109372,,,0.1295530050992965,,,0.5669299960136414,1.9749200344085691,
2018-01-11,,0.6884120106697083,,,,21.042699813842773,13405.7998046875,0.011469000019133,,1154.9300537109375,25.71649932861328,1.0103299617767334,229.36599731445312,,,0.1090800017118454,,,0.5581259727478027,1.9507999420166016,
2018-01-12,,0.8975080251693726,,,,22.31629943847656,13980.599609375,0.0130559997633099,,1273.199951171875,27.663299560546875,1.0515600442886353,236.8560028076172,,,0.1088579967617988,,,0.6779599785804749,2.0432300567626958,
2018-01-13,,0.8841239809989929,,,,22.174400329589844,14360.2001953125,0.0130230002105236,,1396.4200439453125,26.860300064086918,1.1012300252914429,259.1929931640625,,,0.1030350029468536,,,0.671563982963562,2.0213499069213867,
2018-01-14,,0.802262008190155,,,,20.777299880981445,13772.0,0.0116839995607733,,1366.77001953125,26.50119972229004,1.0108400583267212,238.6750030517578,,,0.0847819969058036,,,0.6308559775352478,1.8611899614334104,
2018-01-15,,0.7785869836807251,,,,19.564699172973636,13819.7998046875,0.0098569998517632,,1291.9200439453125,26.66650009155273,0.8776879906654358,232.7740020751953,,,0.0756940022110939,,,0.5992709994316101,1.676730036735535,
2018-01-16,,0.626492977142334,,,,13.891900062561035,11490.5,0.0068219997920095,,1053.68994140625,24.036300659179688,0.7564529776573181,188.33099365234372,,,0.0544879995286464,,,0.441197007894516,1.1792399883270264,
2018-01-17,,0.6291019916534424,,,,14.203200340270996,11188.599609375,0.0076480000279843,,1014.25,24.930400848388672,0.6986340284347534,186.51600646972656,,,0.0756229981780052,,,0.4771870076656341,1.306339979171753,
2018-01-18,,0.6598430275917053,,,,14.280400276184082,11474.900390625,0.0079690003767609,,1036.280029296875,23.349199295043945,0.7442299723625183,192.8370056152344,,,0.0831789970397949,,,0.5095229744911194,1.5965800285339355,
2018-01-19,,0.6504979729652405,,,,14.940600395202637,11607.400390625,0.0078710000962018,,1039.0999755859375,23.495800018310547,0.8129050135612488,192.9640045166016,,,0.0804990008473396,,,0.5062320232391357,1.552049994468689,
2018-01-20,,0.7075099945068359,,,,16.19029998779297,12899.2001953125,0.0084480000659823,,1155.1500244140625,25.165000915527344,1.2193000316619873,211.01800537109372,,,0.0852010026574134,,,0.5346770286560059,1.5786199569702148,
2018-01-21,,0.6131629943847656,,,,14.068300247192385,11600.099609375,0.0071310000494122,,1049.5799560546875,23.66080093383789,0.88782799243927,190.42100524902344,,,0.0711859986186027,,,0.4641169905662536,1.3800400495529177,
2018-01-22,,0.5704579949378967,,,,13.014599800109863,10931.400390625,0.0067340000532567,,1003.260009765625,23.325199127197266,0.8028579950332642,180.00799560546875,,,0.0714119970798492,,,0.4863379895687103,1.3573499917984009,
2018-01-23,,0.5630699992179871,,,,13.093500137329102,10868.400390625,0.0066729998216032,,986.22900390625,23.372100830078125,0.8019170165061951,177.8070068359375,,,0.068571999669075,,,0.4861850142478943,1.3370699882507324,
2018-01-24,,0.6222079992294312,,,,13.628700256347656,11359.400390625,0.0070830001495778,,1058.780029296875,23.88520050048828,0.7928630113601685,179.98699951171875,,,0.070421002805233,,,0.5670139789581299,1.357149958610535,
